,V14,V4,V10,V17,Time,V12,V26,Amount,V21,V8,V11,V7,V28,V19,V3,V22,V6,V20,V27,V16,V13,V25,V24,V18,V2,V1,V5,V15,V9,V23,Class_1
0,-0.58079547,0.107636854,-0.48999995,-0.68550026,0.10938025,-0.29062968,0.117444076,-0.03993911,0.11069921,0.13071254,0.30462658,-0.2565027,0.028933497,0.16557018,-0.24028504,0.10381416,-0.14895338,0.026115665,-0.092948884,-0.3757834,0.06323656,-0.04978219,-0.07014096,-0.22570744,0.18358943,-0.1662384,-0.0812603,-0.15826645,-0.16084532,-0.067013465,0
1,-0.4839487,0.15643126,-0.4143483,-0.59494025,-0.028165473,-0.3196929,-0.041814923,0.02893382,0.06155787,0.042819772,0.3042479,-0.2044232,0.10777521,0.042003654,-0.19909269,-0.05116706,-0.16668862,0.055199075,0.16022493,-0.29214674,-0.1648756,0.06362282,0.01760485,-0.15551975,0.08835186,-0.0018409491,-0.108173266,0.08296057,-0.11484209,-0.01827126,0
2,-0.65435284,0.2577068,-0.67912024,-1.0325198,-0.047643952,-0.41731554,-0.03527136,0.09773174,0.14808412,0.21693459,0.33598307,-0.39497596,0.25226578,0.22309555,-0.25074345,0.04665064,-0.1725109,0.039799683,0.070349455,-0.5294432,0.019912671,-0.004417618,0.025841825,-0.38377875,0.2539985,-0.19479333,-0.23517795,0.15719056,-0.31369177,-0.05754902,0
3,-0.5232658,0.14787845,-0.6741787,-0.50682425,-0.20090075,-0.42621374,0.069430485,-0.15219313,0.068951845,0.16193795,0.45798424,-0.27112964,0.046309933,0.0472835,-0.21762088,-0.0739453,-0.16172087,0.03643729,0.05513128,-0.25479177,0.12166803,0.013955302,-0.068209186,-0.07181093,0.24841136,-0.09848577,-0.10763131,-0.053846814,-0.10947181,-0.014243605,0
4,-0.7012473,0.32716727,-0.3597679,-0.09925445,0.10191985,-0.29249924,0.04294113,-0.15751599,0.02563872,0.012190882,0.27267987,-0.07461006,0.09420477,-0.20162447,-0.27857813,-0.081625916,-0.13093393,0.03881792,0.114113525,-0.028831847,0.018877223,0.09923104,-0.004359658,0.052365735,0.21292055,0.06432505,0.11849642,-0.07659142,-0.30172977,-0.021217009,0
5,-0.7613215,0.32411444,-0.3986323,0.018290281,0.08098931,-0.2959699,0.024757687,-0.20089462,0.018516388,0.021172363,0.4102617,-0.07226886,0.10152683,-0.23454578,-0.29795876,-0.10659924,-0.14826131,0.04542636,0.11631882,0.051659085,-0.044597767,0.0751135,-0.008654581,0.16538917,0.23163766,0.06495439,0.13118364,-0.058711924,-0.32535425,-0.014506727,0
6,-0.5348461,0.26695147,-0.71655935,-1.0447952,-0.04732728,-0.40663183,-0.0550789,0.14461422,0.16046399,0.31157836,0.2844801,-0.38222778,0.11679399,0.25729644,-0.31957456,0.01641095,-0.16104642,-0.060345978,-0.12972654,-0.5414311,0.045178346,-0.015932068,0.05607561,-0.4446882,0.25721845,-0.22963795,-0.3632393,0.12487049,-0.3951848,-0.1701014,0
7,-0.35499543,0.1384348,-0.35170537,-0.5590063,-0.09907606,-0.2674319,-0.05914098,-0.15963036,0.085330024,0.11182587,0.26566982,-0.17849608,0.083343685,0.15150294,-0.1232437,0.029736929,-0.08416357,0.028433368,0.096458375,-0.26667008,-0.13347058,-0.009421478,-0.038868096,-0.090350315,0.15072353,-0.099020615,-0.08176368,0.04727138,-0.18385327,-0.012142487,0
8,-0.55834585,0.08019172,-0.48237777,-0.8091093,0.055979513,-0.30780864,0.018639214,0.109670624,0.12910885,0.036932833,0.35069585,-0.15144807,0.019186018,0.16171913,-0.20003483,0.19237068,-0.10384177,0.019529235,-0.012402341,-0.39891136,0.07777343,0.0013832441,-0.0694112,-0.19888955,0.15186065,-0.14463513,-0.09281539,-0.03185814,-0.16882311,-0.058342263,0
9,-0.64114416,0.35848683,-0.40791696,-0.6913998,0.12658896,-0.34855986,-0.02542401,-0.091493726,0.054952145,0.05387402,0.25418693,-0.22482349,0.118608594,-0.10061588,-0.2388551,-0.122037515,-0.14366744,0.054824866,0.20027333,-0.29725683,0.05382044,0.014117681,-0.053703643,-0.29677004,0.19262111,0.0151220765,-0.050943136,-0.090797216,-0.32376078,0.02067676,0
